samples,site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,sample.type.year,Season,elev_m,flacc_npx,uplength_m,snapped_lat_tm5,snapped_long_tm5
L328.1,NA,L328_1,L,2016,1,164,2016-06-12,Lake,Lake,Spring,117.9420013,448381,26095.3007813,5605012.88748,378279.64033
L328.2,NA,L328_2,L,2016,1,164,2016-06-12,Lake,Lake,Spring,117.9420013,1395120,42790.3984375,5592558.91877,370082.897565
L329.1,NA,L329_1,L,2016,1,164,2016-06-12,Lake,Lake,Spring,92.0479965,144725,13529,5603329.27689,389309.15795
L329.2,NA,L329_2,L,2016,1,164,2016-06-12,Lake,Lake,Spring,92.0479965,1947450,58289.6992188,5593959.50657,380534.032703
L330_C1,NA,L330_C1,L,2016,1,165,2016-06-13,Lake,Lake,Spring,-9999,-9999,-9999,-1,-1
LR49,NA,LR49,LR,2016,1,154,2016-06-02,HeadwaterLakes,Riverine Lakes,Spring,471.9519958,10402300,134519,5801926.59519,339282.878863
LR50,NA,LR50,LR,2016,1,154,2016-06-02,HeadwaterLakes,Riverine Lakes,Spring,471.3559875,15350500,169880,5777290.54101,359649.524726
LR51,NA,LR51,LR,2016,1,154,2016-06-02,HeadwaterLakes,Riverine Lakes,Spring,471.3510132,20441900,179822,5769255.97803,359617.531116
LR52,NA,LR52,LR,2016,1,155,2016-06-03,HeadwaterLakes,Riverine Lakes,Spring,470.6260071,21530800,190348,5772526.32559,350709.49721
LR53,NA,LR53,LR,2016,1,155,2016-06-03,River,Upriver,Spring,468.8670044,22933600,194036,5769513.33956,349912.679963
LR54,NA,LR54,LR,2016,1,155,2016-06-03,River,Upriver,Spring,457.053009,26264000,208332,5760130.1394,354530.88974
LR62,NA,LR62,LR,2016,1,161,2016-06-09,River,Downriver,Spring,24.2742004,64101200,486359,5576106.14557,389603.547896
LR65,NA,LR65,LR,2016,1,163,2016-06-11,River,Upriver,Spring,279.9750061,49132400,337103,5682453.65122,384985.338119
PR25,PR-03B,PR25,PR,2016,1,162,2016-06-10,Stream,Stream,Spring,589.2349854,107786,6998.2700195,5674987.78867,345208.683007
PR29,PR-05A,PR29,PR,2016,1,164,2016-06-12,Stream,Stream,Spring,605.6829834,14405,3868.1298828,5674254.30669,345000.884042
RO1.02,NA,RO1-02,RO1,2016,1,157,2016-06-05,Reservoir,Reservoir,Spring,83.1699982,63206800,445181,5610265.59065,398884.711206
RO1.04,NA,RO1-04,RO1,2016,1,158,2016-06-06,Reservoir,Reservoir,Spring,83.1699982,63563000,465161,5593101.15085,393969.550072
RO1.06,NA,RO1-06,RO1,2016,1,167,2016-06-15,Reservoir,Reservoir,Spring,83.1699982,63773900,472410,5586571.85122,394765.076471
RO2.31,NA,RO2-31,RO2,2016,1,153,2016-06-01,Reservoir,Reservoir,Spring,229.1699982,60133600,433470,5616526.20452,393463.97093
RO2.33,NA,RO2-33,RO2,2016,1,154,2016-06-02,Reservoir,Reservoir,Spring,229.1699982,59231100,412205,5636094.84237,397453.074732
RO2.35,NA,RO2-35,RO2,2016,1,155,2016-06-03,Reservoir,Reservoir,Spring,229.1699982,59502400,418850,5629780.3236,396680.990125
RO2.36,NA,RO2-36,RO2,2016,1,156,2016-06-04,Reservoir,Reservoir,Spring,229.1699982,60133600,433470,5616526.20452,393463.97093
RO2.37,NA,RO2-37,RO2,2016,1,156,2016-06-04,Reservoir,Reservoir,Spring,229.1699982,59606700,425540,5623580.80783,395522.863215
RO2.42,NA,RO2-42,RO2,2016,1,162,2016-06-10,Reservoir,Reservoir,Spring,229.1699982,57583900,384528,5651513.0755,388059.378683
RO2.44,NA,RO2-44,RO2,2016,1,162,2016-06-10,Reservoir,Reservoir,Spring,229.1699982,57651700,387733,5649182.52381,388359.633807
RO2.45,NA,RO2-45,RO2,2016,1,164,2016-06-12,Reservoir,Reservoir,Spring,229.1699982,58227300,391247,5647052.14221,386858.358183
T47,NA,T47,TR,2016,1,166,2016-06-14,Tributary,Tributary,Spring,8.22052,5942960,107222,5575205.38019,364525.096039
T49_C1,NA,T49_C1,TR,2016,1,167,2016-06-15,Tributary,Tributary,Spring,83.1699982,32093,4591.3999023,5588774.05226,396137.671327
HW37,NA,HW37,NA,2016,2,220,2016-08-07,Hyporheic,Hyporheic,Summer,594.9379883,23282,5450.0400391,5674161.08696,345108.597965
HW41,NA,HW41,NA,2016,2,222,2016-08-09,Hyporheic,Hyporheic,Summer,497.118988,520224,23446.5996094,5685361.88587,348654.468011
HW43,NA,HW43,NA,2016,2,223,2016-08-10,Hyporheic,Hyporheic,Summer,491.6220093,1174950,36947.3984375,5685584.88324,349969.871415
L332,NA,L332,L,2016,2,224,2016-08-11,Lake,Lake,Summer,638.434021,10373,2999.8500977,5672613.32317,346384.506021
L333,NA,L333,L,2016,2,224,2016-08-11,Lake,Lake,Summer,653.8449707,6812,1999.8399658,5671901.82826,346867.235125
L335.2,NA,L335.2,L,2016,2,225,2016-08-12,Lake,Lake,Summer,117.9420013,1394070,42689.3007813,5592637.80239,370161.78119
L336.2,NA,L336.2,L,2016,2,225,2016-08-12,Lake,Lake,Summer,92.0479965,1781400,54483.6015625,5597100.91601,382174.166514
L337,NA,L337,L,2016,2,229,2016-08-16,Lake,Lake,Summer,417.0969849,155254,16041.7998047,5650126.18278,394950.948691
L338,NA,L338,L,2016,2,229,2016-08-16,Lake,Lake,Summer,170.4080048,297235,20943.5996094,5610865.61398,384583.634704
LR69,NA,LR69,LR,2016,2,219,2016-08-06,River,Downriver,Summer,10.5025997,64233100,491905,5576963.11587,385571.550505
LR71,NA,LR71,LR,2016,2,219,2016-08-06,River,Downriver,Summer,25.7014999,63936400,477108,5583423.44457,392491.71624
LR72,NA,LR72,LR,2016,2,222,2016-08-09,HeadwaterLakes,Riverine Lakes,Summer,471.9519958,10402400,134691,5801926.59519,339456.161776
LR73,NA,LR73,LR,2016,2,224,2016-08-11,HeadwaterLakes,Riverine Lakes,Summer,470.6260071,21536400,190651,5772319.71683,350502.888453
LR74,NA,LR74,LR,2016,2,224,2016-08-11,HeadwaterLakes,Riverine Lakes,Summer,471.3510132,20433600,178582,5769627.72247,360707.566595
LR79,NA,LR79,LR,2016,2,227,2016-08-14,River,Upriver,Summer,457.053009,26264000,208504,5759958.2839,354530.88974
LR80,NA,LR80,LR,2016,2,227,2016-08-14,River,Upriver,Summer,428.6990051,33825900,255759,5724438.00969,359392.16319
LR81,NA,LR81,LR,2016,2,228,2016-08-15,River,Upriver,Summer,382.4890137,41259800,309812,5694691.13629,368286.919759
LR85,NA,LR85,LR,2016,2,229,2016-08-16,River,Downriver,Summer,7.7884898,64813700,513585,5574976.61438,367198.796437
LR86,NA,LR86,LR,2016,2,229,2016-08-16,River,Downriver,Summer,1,71224600,527131,5575278.04102,356176.315506
M17,NA,M17,ES,2016,2,227,2016-08-14,Marine,Estuary,Summer,0,175,2502.1201172,5572350.40688,351292.341733
M19,NA,M19,ES,2016,2,227,2016-08-14,Marine,Estuary,Summer,0,807,11515.7001953,5569732.47678,351003.616993
M20,NA,M20,ES,2016,2,227,2016-08-14,Marine,Estuary,Summer,0,4572,13746.7998047,5569366.70189,351211.04417
PR37,PR-06B,PR37,PR,2016,2,220,2016-08-07,Stream,Stream,Summer,594.9379883,23282,5450.0400391,5674161.08696,345108.597965
PR38,PR-05A,PR38,PR,2016,2,220,2016-08-07,Stream,Stream,Summer,605.6829834,14430,3888.3500977,5674249.50489,345005.68584
PR40,PR-10B,PR40,PR,2016,2,222,2016-08-09,Stream,Stream,Summer,494.848999,522728,23719.1992188,5685484.79819,348786.631886
PR41,PR-09A,PR41,PR,2016,2,222,2016-08-09,Stream,Stream,Summer,497.118988,520224,23446.5996094,5685361.88587,348654.468011
PR42,PR-11A,PR42,PR,2016,2,223,2016-08-10,Stream,Stream,Summer,494.2070007,1171750,35940.1015625,5685681.51181,349086.860374
PR43,PR-12B,PR43,PR,2016,2,223,2016-08-10,Stream,Stream,Summer,491.6220093,1174950,36947.3984375,5685584.88324,349969.871415
RO1.10P,NA,RO1-10D,RO1,2016,2,227,2016-08-14,Deep,Hypolimnion,Summer,83.1699982,63861800,474775,5584524.82499,393990.229928
RO1.11,NA,RO1-11,RO1,2016,2,228,2016-08-15,Reservoir,Reservoir,Summer,83.1699982,63637400,468733,5590200.65474,394807.97006
RO1.12,NA,RO1-12,RO1,2016,2,228,2016-08-15,Reservoir,Reservoir,Summer,83.1699982,63637400,469964,5588976.61237,394807.97006
RO1.13,NA,RO1-13,RO1,2016,2,228,2016-08-15,Reservoir,Reservoir,Summer,83.1699982,63773900,472810,5586167.06657,394765.076471
RO2.47,NA,RO2-47,RO2,2016,2,218,2016-08-05,Reservoir,Reservoir,Summer,229.1699982,59231000,412033,5636271.55344,397453.074732
RO2.48,NA,RO2-48,RO2,2016,2,220,2016-08-07,Reservoir,Reservoir,Summer,229.1699982,52493700,381663,5651970.60711,385716.913859
RO2.49,NA,RO2-49,RO2,2016,2,220,2016-08-07,Reservoir,Reservoir,Summer,229.1699982,52523600,383815,5651741.84131,387601.847064
RO2.50,NA,RO2-50,RO2,2016,2,220,2016-08-07,Reservoir,Reservoir,Summer,229.1699982,57583900,384528,5651513.0755,388059.378683
RO2.52,NA,RO2-52,RO2,2016,2,221,2016-08-08,Reservoir,Reservoir,Summer,229.1699982,58227300,391247,5647052.14221,386858.358183
RO2.54,NA,RO2-54,RO2,2016,2,221,2016-08-08,Reservoir,Reservoir,Summer,229.1699982,59210600,411608,5636574.31827,397150.309903
RO2.56,NA,RO2-56,RO2,2016,2,223,2016-08-10,Reservoir,Reservoir,Summer,229.1699982,59502800,419011,5629637.34497,396638.096536
RO2.57,NA,RO2-57,RO2,2016,2,223,2016-08-10,Reservoir,Reservoir,Summer,229.1699982,59576200,423525,5625405.1775,395966.09697
RO2.59,NA,RO2-59,RO2,2016,2,224,2016-08-11,Reservoir,Reservoir,Summer,229.1699982,59674600,429059,5620472.41473,394522.012798
SW35,NA,SW35,NA,2016,2,218,2016-08-05,Soilwater,Soilwater,Summer,587.1199951,110409,7391.25,5675353.95716,345151.491554
SW37,NA,SW37,NA,2016,2,220,2016-08-07,Soilwater,Soilwater,Summer,594.9379883,23282,5450.0400391,5674161.08696,345108.597965
SW39,NA,SW39,NA,2016,2,220,2016-08-07,Soilwater,Soilwater,Summer,849.4390259,1082,1006.3499756,5672430.84919,344665.364209
SW40,NA,SW40,NA,2016,2,222,2016-08-09,Soilwater,Soilwater,Summer,494.848999,522728,23719.1992188,5685484.79819,348786.631886
SW43,NA,SW43,NA,2016,2,223,2016-08-10,Soilwater,Soilwater,Summer,491.6220093,1174950,36947.3984375,5685584.88324,349969.871415
LR87,NA,LR87,LR,2016,3,278,2016-10-04,River,Upriver,Autumn,279.9750061,49282800,340603,5679193.82924,385557.252642
LR89,NA,LR89,LR,2016,3,282,2016-10-08,River,Downriver,Autumn,7.7884898,64813700,513585,5574976.61438,367198.796437
LR91,NA,LR91,LR,2016,3,283,2016-10-09,River,Downriver,Autumn,13.8399,64156700,488931,5575477.03959,387367.184101
LR93,NA,LR93,LR,2016,3,283,2016-10-09,River,Downriver,Autumn,25.7014999,63936400,477037,5583492.07107,392491.71624
LR95,NA,LR95,LR,2016,3,285,2016-10-11,River,Downriver,Autumn,9.9059401,64677100,508067,5575348.35882,372045.772024
RO1.14,NA,RO1-14,RO1,2016,3,279,2016-10-05,Reservoir,Reservoir,Autumn,83.1699982,60253700,443213,5610892.84646,397638.946952
RO1.16,NA,RO1-16,RO1,2016,3,279,2016-10-05,Reservoir,Reservoir,Autumn,83.1699982,63633500,466493,5592305.62445,394679.289292
RO1.18,NA,RO1-18,RO1,2016,3,281,2016-10-07,Reservoir,Reservoir,Autumn,83.1699982,63637400,468733,5590201.82801,394807.97006
RO1.20,NA,RO1-20,RO1,2016,3,281,2016-10-07,Reservoir,Reservoir,Autumn,83.1699982,63773900,472767,5586209.6314,394765.076471
RO2.62,NA,RO2-62,RO2,2016,3,278,2016-10-04,Reservoir,Reservoir,Autumn,229.1699982,58227300,391247,5647052.14221,386858.358183
RO2.64,NA,RO2-64,RO2,2016,3,278,2016-10-04,Reservoir,Reservoir,Autumn,229.1699982,59674600,429059,5620472.41473,394522.012798
RO2.66,NA,RO2-66,RO2,2016,3,280,2016-10-06,Reservoir,Reservoir,Autumn,229.1699982,58645800,406893,5639902.22409,394279.935705
RO2.68,NA,RO2-68,RO2,2016,3,280,2016-10-06,Reservoir,Reservoir,Autumn,229.1699982,59231100,413679,5634624.94159,397453.074732
RO2.70,NA,RO2-70,RO2,2016,3,282,2016-10-08,Reservoir,Reservoir,Autumn,229.1699982,57583900,384528,5651513.0755,388059.378683
RO2.72,NA,RO2-72,RO2,2016,3,283,2016-10-09,Reservoir,Reservoir,Autumn,229.1699982,57663400,388512,5648639.20502,388159.463724
RO2.74,NA,RO2-74,RO2,2016,3,283,2016-10-09,Reservoir,Reservoir,Autumn,229.1699982,50498600,364503,5661482.47499,382665.295378
RO2.76,NA,RO2-76,RO2,2016,3,285,2016-10-11,Reservoir,Reservoir,Autumn,229.1699982,59576200,423525,5625405.1775,395966.09697
RO2.77,NA,RO2-77,RO2,2016,3,285,2016-10-11,Reservoir,Reservoir,Autumn,229.1699982,60133600,433470,5616526.20452,393463.97093
RO2.77D,NA,RO2-77D,RO2,2016,3,285,2016-10-11,Deep,Hypolimnion,Autumn,229.1699982,60133600,433470,5616526.20452,393463.97093
T51,NA,T51,TR,2016,3,282,2016-10-08,Tributary,Tributary,Autumn,8.1655197,5945700,107292,5575153.46499,364501.77656
